visit,ts,app_state
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403518,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403534,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403536,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403542,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403582,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403614,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403617,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403652,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403655,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403656,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403657,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403690,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403720,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403752,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403780,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411037,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411038,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411039,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411043,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411044,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411045,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411049,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411055,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411056,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411057,
